Customer ID;Customer Name;Segment;Postal Code
CG-12520;Claire Gute;Consumer;42420
DV-13045;Darrin Van Huff;Corporate;90036
SO-20335;Sean O'Donnell;Consumer;33311
BH-11710;Brosina Hoffman;Consumer;90032
AA-10480;Andrew Allen;Consumer;28027
IM-15070;Irene Maddox;Consumer;98103
HP-14815;Harold Pawlan;Home Office;76106
PK-19075;Pete Kriz;Consumer;53711
AG-10270;Alejandro Grove;Consumer;84084
ZD-21925;Zuschuss Donatelli;Consumer;94109
KB-16585;Ken Black;Corporate;68025
SF-20065;Sandra Flanagan;Consumer;19140
EB-13870;Emily Burns;Consumer;84057
EH-13945;Eric Hoffmann;Consumer;90049
TB-21520;Tracy Blumstein;Consumer;19140
MA-17560;Matt Abelman;Home Office;77095
GH-14485;Gene Hale;Corporate;75080
SN-20710;Steve Nguyen;Home Office;77041
LC-16930;Linda Cazamias;Corporate;60540
RA-19885;Ruben Ausman;Corporate;90049
ES-14080;Erin Smith;Corporate;32935
ON-18715;Odella Nelson;Corporate;55122
PO-18865;Patrick O'Donnell;Consumer;48185
LH-16900;Lena Hernandez;Consumer;19901
DP-13000;Darren Powers;Consumer;47150
JM-15265;Janet Molinari;Corporate;10024
TB-21055;Ted Butterfield;Consumer;12180
KM-16720;Kunst Miller;Consumer;90004
PS-18970;Paul Stevenson;Home Office;60610
BS-11590;Brendan Sweed;Corporate;85234
KD-16270;Karen Daniels;Consumer;22153
HM-14980;Henry MacAllister;Consumer;10009
TB-21520;Tracy Blumstein;Consumer;49201
JE-15745;Joel Eaton;Consumer;38109
KB-16600;Ken Brennan;Corporate;77041
JE-15745;Joel Eaton;Consumer;77070
SC-20770;Stewart Carmichael;Corporate;35601
DN-13690;Duane Noonan;Consumer;94122
JC-16105;Julie Creighton;Corporate;27707
CS-12400;Christopher Schild;Home Office;60623
PO-18865;Patrick O'Donnell;Consumer;29203
PG-18895;Paul Gonzalez;Consumer;55901
GM-14455;Gary Mitchum;Home Office;77095
JS-15685;Jim Sink;Corporate;90036
KB-16315;Karl Braun;Consumer;55407
RB-19705;Roger Barcio;Home Office;97206
PN-18775;Parhena Norris;Home Office;10009
KD-16345;Katherine Ducich;Consumer;94122
ER-13855;Elpida Rittenbach;Corporate;55106
RB-19465;Rick Bensley;Home Office;60610
GZ-14470;Gary Zandusky;Consumer;55901
LC-16870;Lena Cacioppo;Consumer;80013
JM-15250;Janet Martin;Consumer;28205
PA-19060;Pete Armstrong;Home Office;60462
CV-12805;Cynthia Voltz;Corporate;10035
CL-12565;Clay Ludtke;Consumer;50322
RC-19960;Ryan Crowe;Consumer;43229
DK-13090;Dave Kipp;Consumer;98103
GG-14650;Greg Guthrie;Corporate;37620
SC-20725;Steven Cartwright;Consumer;19805
AD-10180;Alan Dominguez;Home Office;77041
PF-19165;Philip Fox;Consumer;61701
TS-21610;Troy Staebel;Consumer;85023
LS-16975;Lindsay Shagiari;Home Office;90004
DW-13585;Dorothy Wardle;Corporate;43229
LC-16885;Lena Creighton;Consumer;95661
JD-15895;Jonathan Doherty;Corporate;19140
SH-19975;Sally Hughsby;Corporate;94122
SG-20080;Sandra Glassco;Consumer;64055
HA-14920;Helen Andreada;Consumer;91104
MG-17680;Maureen Gastineau;Home Office;43055
JE-16165;Justin Ellison;Corporate;53132
TW-21025;Tamara Willingham;Home Office;85254
SP-20650;Stephanie Phelps;Corporate;95123
NK-18490;Neil Knudson;Home Office;98105
DB-13060;Dave Brooks;Consumer;98115
NP-18670;Nora Paige;Consumer;73034
TT-21070;Ted Trevino;Consumer;90045
EM-13960;Eric Murdock;Consumer;19134
RD-19900;Ruben Dartt;Consumer;88220
MJ-17740;Max Jones;Consumer;98115
BM-11140;Becky Martin;Consumer;78207
CS-12130;Chad Sievert;Consumer;90004
JB-15400;Jennifer Braxton;Corporate;60623
SJ-20500;Shirley Jackson;Consumer;77036
JE-15745;Joel Eaton;Consumer;43055
JK-15640;Jim Kriz;Home Office;10009
DK-13150;David Kendrick;Corporate;62521
RM-19675;Robert Marley;Home Office;71203
SK-19990;Sally Knutson;Consumer;6824
FM-14290;Frank Merwin;Home Office;90032
AM-10360;Alice McCarthy;Corporate;75051
MP-17470;Mark Packer;Home Office;10035
MZ-17515;Mary Zewe;Corporate;92374
CB-12025;Cassandra Brandow;Consumer;45011
VM-21685;Valerie Mitchum;Home Office;7090
FH-14365;Fred Hopkins;Corporate;19120
MB-17305;Maria Bertelson;Consumer;44312
BS-11755;Bruce Stewart;Consumer;80219
LC-17140;Logan Currie;Consumer;75220
HK-14890;Heather Kirkland;Corporate;37064
LE-16810;Laurel Elliston;Consumer;90604
JH-15985;Joseph Holt;Consumer;48601
MS-17980;Michael Stewart;Corporate;75220
VW-21775;Victoria Wilson;Corporate;44256
JH-15910;Jonathan Howell;Consumer;90032
JB-15925;Joni Blumstein;Consumer;43017
DS-13180;David Smith;Corporate;48227
VD-21670;Valerie Dominguez;Consumer;38401
EA-14035;Erin Ashbrook;Corporate;28205
CS-12400;Christopher Schild;Home Office;33614
DB-13120;David Bremer;Corporate;95051
KL-16645;Ken Lonsdale;Consumer;60610
